"stateFIPS","State","Year","Value","Data Comment","Age Group"
"05","Arkansas","2010","10.7%","","65 or older"
"06","California","1999","Data Not Collected","","18 to 24"
"06","California","1999","Data Not Collected","","25 to 34"
"06","California","1999","Data Not Collected","","35 to 44"
"06","California","1999","Data Not Collected","","45 to 54"
"06","California","1999","Data Not Collected","","55 to 64"
"06","California","1999","Data Not Collected","","65 or older"
"06","California","2000","16.0%","","18 to 24"
"06","California","2000","11.3%","","25 to 34"
"06","California","2000","10.0%","","35 to 44"
"06","California","2000","9.8%","","45 to 54"
"06","California","2000","14.9%","","55 to 64"
"06","California","2000","9.9%","","65 or older"
"06","California","2001","10.9%","","18 to 24"
"06","California","2001","12.3%","","25 to 34"
"06","California","2001","11.3%","","35 to 44"
"06","California","2001","15.2%","","45 to 54"
"06","California","2001","11.2%","","55 to 64"
"06","California","2001","12.8%","","65 or older"
"06","California","2002","15.2%","","18 to 24"
"06","California","2002","12.4%","","25 to 34"
"06","California","2002","12.7%","","35 to 44"
"06","California","2002","11.8%","","45 to 54"
"06","California","2002","11.4%","","55 to 64"
"06","California","2002","12.5%","","65 or older"
"06","California","2003","17.1%","","18 to 24"
"06","California","2003","12.6%","","25 to 34"
"06","California","2003","11.7%","","35 to 44"
"06","California","2003","13.9%","","45 to 54"
"06","California","2003","14.1%","","55 to 64"
"06","California","2003","12.4%","","65 or older"
"06","California","2004","17.9%","","18 to 24"
"06","California","2004","14.1%","","25 to 34"
"06","California","2004","12.2%","","35 to 44"
"06","California","2004","15.1%","","45 to 54"
"06","California","2004","13.8%","","55 to 64"
"06","California","2004","11.9%","","65 or older"
"06","California","2005","15.3%","","18 to 24"
"06","California","2005","13.9%","","25 to 34"
"06","California","2005","10.2%","","35 to 44"
"06","California","2005","14.9%","","45 to 54"
"06","California","2005","13.7%","","55 to 64"
"06","California","2005","12.1%","","65 or older"
"06","California","2006","14.0%","","18 to 24"
"06","California","2006","10.1%","","25 to 34"
"06","California","2006","11.5%","","35 to 44"
"06","California","2006","14.0%","","45 to 54"
"06","California","2006","15.1%","","55 to 64"
"06","California","2006","12.5%","","65 or older"
"06","California","2007","15.7%","","18 to 24"
"06","California","2007","12.3%","","25 to 34"
"06","California","2007","11.4%","","35 to 44"
"06","California","2007","11.3%","","45 to 54"
"06","California","2007","15.3%","","55 to 64"
"06","California","2007","13.1%","","65 or older"
"06","California","2008","15.8%","","18 to 24"
"06","California","2008","13.5%","","25 to 34"
"06","California","2008","11.4%","","35 to 44"
"06","California","2008","13.9%","","45 to 54"
"06","California","2008","15.7%","","55 to 64"
"06","California","2008","13.5%","","65 or older"
"06","California","2009","18.6%","","18 to 24"
"06","California","2009","13.0%","","25 to 34"
"06","California","2009","13.1%","","35 to 44"
"06","California","2009","13.6%","","45 to 54"
"06","California","2009","13.5%","","55 to 64"
"06","California","2009","10.4%","","65 or older"
"06","California","2010","14.8%","","18 to 24"
"06","California","2010","12.3%","","25 to 34"
"06","California","2010","10.0%","","35 to 44"
"06","California","2010","13.1%","","45 to 54"
"06","California","2010","15.4%","","55 to 64"
"06","California","2010","11.3%","","65 or older"
"08","Colorado","1999","Data Not Collected","","18 to 24"
"08","Colorado","1999","Data Not Collected","","25 to 34"
"08","Colorado","1999","Data Not Collected","","35 to 44"
"08","Colorado","1999","Data Not Collected","","45 to 54"
"08","Colorado","1999","Data Not Collected","","55 to 64"
"08","Colorado","1999","Data Not Collected","","65 or older"
"08","Colorado","2000","10.1%","","18 to 24"
"08","Colorado","2000","9.1%","","25 to 34"
"08","Colorado","2000","10.8%","","35 to 44"
"08","Colorado","2000","11.6%","","45 to 54"
"08","Colorado","2000","5.7%","","55 to 64"
"08","Colorado","2000","7.4%","","65 or older"
"08","Colorado","2001","18.7%","","18 to 24"
"08","Colorado","2001","12.4%","","25 to 34"
"08","Colorado","2001","10.0%","","35 to 44"
"08","Colorado","2001","13.8%","","45 to 54"
"08","Colorado","2001","9.6%","","55 to 64"
"08","Colorado","2001","10.5%","","65 or older"
"08","Colorado","2002","13.6%","","18 to 24"
"08","Colorado","2002","12.9%","","25 to 34"
"08","Colorado","2002","12.2%","","35 to 44"
"08","Colorado","2002","13.1%","","45 to 54"
"08","Colorado","2002","12.2%","","55 to 64"
"08","Colorado","2002","7.7%","","65 or older"
"08","Colorado","2003","16.7%","","18 to 24"
"08","Colorado","2003","11.9%","","25 to 34"
"08","Colorado","2003","9.9%","","35 to 44"
"08","Colorado","2003","12.5%","","45 to 54"
"08","Colorado","2003","12.8%","","55 to 64"
"08","Colorado","2003","12.6%","","65 or older"
"08","Colorado","2004","16.4%","","18 to 24"
"08","Colorado","2004","13.0%","","25 to 34"
"08","Colorado","2004","12.7%","","35 to 44"
"08","Colorado","2004","14.3%","","45 to 54"
"08","Colorado","2004","12.1%","","55 to 64"
"08","Colorado","2004","12.9%","","65 or older"
"08","Colorado","2005","17.8%","","18 to 24"
"08","Colorado","2005","15.6%","","25 to 34"
"08","Colorado","2005","11.7%","","35 to 44"
"08","Colorado","2005","13.3%","","45 to 54"
"08","Colorado","2005","10.2%","","55 to 64"
"08","Colorado","2005","10.8%","","65 or older"
"08","Colorado","2006","18.3%","","18 to 24"
"08","Colorado","2006","12.1%","","25 to 34"
"08","Colorado","2006","11.3%","","35 to 44"
"08","Colorado","2006","10.6%","","45 to 54"
"08","Colorado","2006","12.0%","","55 to 64"
"08","Colorado","2006","9.7%","","65 or older"
"08","Colorado","2007","17.3%","","18 to 24"
"08","Colorado","2007","13.9%","","25 to 34"
"08","Colorado","2007","12.9%","","35 to 44"
"08","Colorado","2007","11.0%","","45 to 54"
"08","Colorado","2007","11.4%","","55 to 64"
"08","Colorado","2007","11.3%","","65 or older"
"08","Colorado","2008","19.7%","","18 to 24"
"08","Colorado","2008","13.1%","","25 to 34"
"08","Colorado","2008","12.4%","","35 to 44"
"08","Colorado","2008","12.3%","","45 to 54"
"08","Colorado","2008","11.2%","","55 to 64"
"08","Colorado","2008","10.6%","","65 or older"
"08","Colorado","2009","18.6%","","18 to 24"
"08","Colorado","2009","13.2%","","25 to 34"
"08","Colorado","2009","13.4%","","35 to 44"
"08","Colorado","2009","11.6%","","45 to 54"
"08","Colorado","2009","13.3%","","55 to 64"
"08","Colorado","2009","10.9%","","65 or older"
"08","Colorado","2010","20.2%","","18 to 24"
"08","Colorado","2010","14.7%","","25 to 34"
"08","Colorado","2010","14.9%","","35 to 44"
"08","Colorado","2010","13.3%","","45 to 54"
"08","Colorado","2010","14.2%","","55 to 64"
"08","Colorado","2010","12.7%","","65 or older"
"09","Connecticut","1999","Data Not Collected","","18 to 24"
"09","Connecticut","1999","Data Not Collected","","25 to 34"
"09","Connecticut","1999","Data Not Collected","","35 to 44"
"09","Connecticut","1999","Data Not Collected","","45 to 54"
"09","Connecticut","1999","Data Not Collected","","55 to 64"
"09","Connecticut","1999","Data Not Collected","","65 or older"
"09","Connecticut","2000","18.6%","","18 to 24"
"09","Connecticut","2000","12.1%","","25 to 34"
"09","Connecticut","2000","10.6%","","35 to 44"
"09","Connecticut","2000","8.7%","","45 to 54"
"09","Connecticut","2000","8.5%","","55 to 64"
"09","Connecticut","2000","9.0%","","65 or older"
"09","Connecticut","2001","18.4%","","18 to 24"
"09","Connecticut","2001","14.0%","","25 to 34"
"09","Connecticut","2001","13.0%","","35 to 44"
"09","Connecticut","2001","12.3%","","45 to 54"
"09","Connecticut","2001","10.3%","","55 to 64"
"09","Connecticut","2001","8.5%","","65 or older"
"09","Connecticut","2002","21.8%","","18 to 24"
"09","Connecticut","2002","15.6%","","25 to 34"
"09","Connecticut","2002","12.8%","","35 to 44"
"09","Connecticut","2002","12.1%","","45 to 54"
"09","Connecticut","2002","11.6%","","55 to 64"
"09","Connecticut","2002","8.8%","","65 or older"
"09","Connecticut","2003","19.0%","","18 to 24"
"09","Connecticut","2003","13.7%","","25 to 34"
"09","Connecticut","2003","11.8%","","35 to 44"
"09","Connecticut","2003","11.4%","","45 to 54"
"09","Connecticut","2003","13.4%","","55 to 64"
"09","Connecticut","2003","7.7%","","65 or older"
"09","Connecticut","2004","23.6%","","18 to 24"
"09","Connecticut","2004","17.5%","","25 to 34"
"09","Connecticut","2004","15.9%","","35 to 44"
"09","Connecticut","2004","14.0%","","45 to 54"
"09","Connecticut","2004","13.8%","","55 to 64"
"09","Connecticut","2004","10.3%","","65 or older"
"09","Connecticut","2005","18.7%","","18 to 24"
"09","Connecticut","2005","15.8%","","25 to 34"
"09","Connecticut","2005","11.8%","","35 to 44"
"09","Connecticut","2005","9.7%","","45 to 54"
"09","Connecticut","2005","11.9%","","55 to 64"
"09","Connecticut","2005","9.8%","","65 or older"
"09","Connecticut","2006","19.7%","","18 to 24"
"09","Connecticut","2006","16.5%","","25 to 34"
"09","Connecticut","2006","11.3%","","35 to 44"
"09","Connecticut","2006","13.7%","","45 to 54"
"09","Connecticut","2006","13.4%","","55 to 64"
"09","Connecticut","2006","11.3%","","65 or older"
"09","Connecticut","2007","21.4%","","18 to 24"
"09","Connecticut","2007","18.9%","","25 to 34"
"09","Connecticut","2007","12.9%","","35 to 44"
"09","Connecticut","2007","13.0%","","45 to 54"
"09","Connecticut","2007","11.9%","","55 to 64"
"09","Connecticut","2007","10.0%","","65 or older"
"09","Connecticut","2008","20.5%","","18 to 24"
"09","Connecticut","2008","17.0%","","25 to 34"
"09","Connecticut","2008","11.7%","","35 to 44"
"09","Connecticut","2008","13.4%","","45 to 54"
"09","Connecticut","2008","11.2%","","55 to 64"
"09","Connecticut","2008","10.4%","","65 or older"
"09","Connecticut","2009","31.1%","","18 to 24"
"09","Connecticut","2009","17.1%","","25 to 34"
"09","Connecticut","2009","13.5%","","35 to 44"
"09","Connecticut","2009","13.5%","","45 to 54"
"09","Connecticut","2009","12.7%","","55 to 64"
"09","Connecticut","2009","11.3%","","65 or older"
"09","Connecticut","2010","24.4%","","18 to 24"
"09","Connecticut","2010","19.9%","","25 to 34"
"09","Connecticut","2010","15.7%","","35 to 44"
"09","Connecticut","2010","13.0%","","45 to 54"
"09","Connecticut","2010","11.8%","","55 to 64"
"09","Connecticut","2010","10.8%","","65 or older"
"10","Delaware","1999","Data Not Collected","","18 to 24"
"10","Delaware","1999","Data Not Collected","","25 to 34"
"10","Delaware","1999","Data Not Collected","","35 to 44"
"10","Delaware","1999","Data Not Collected","","45 to 54"
"10","Delaware","1999","Data Not Collected","","55 to 64"
"10","Delaware","1999","Data Not Collected","","65 or older"
"10","Delaware","2000","18.8%","","18 to 24"
"10","Delaware","2000","10.6%","","25 to 34"
"10","Delaware","2000","8.9%","","35 to 44"
"10","Delaware","2000","9.8%","","45 to 54"
"10","Delaware","2000","8.9%","","55 to 64"
"10","Delaware","2000","7.5%","","65 or older"
"10","Delaware","2001","24.8%","","18 to 24"
"10","Delaware","2001","10.9%","","25 to 34"
"10","Delaware","2001","10.8%","","35 to 44"
"10","Delaware","2001","10.0%","","45 to 54"
"10","Delaware","2001","10.3%","","55 to 64"
"10","Delaware","2001","7.9%","","65 or older"
"10","Delaware","2002","15.1%","","18 to 24"
"10","Delaware","2002","12.0%","","25 to 34"
"10","Delaware","2002","11.0%","","35 to 44"
"10","Delaware","2002","10.3%","","45 to 54"
"10","Delaware","2002","13.4%","","55 to 64"
"10","Delaware","2002","10.3%","","65 or older"
"10","Delaware","2003","11.5%","","18 to 24"
"10","Delaware","2003","16.7%","","25 to 34"
"10","Delaware","2003","10.9%","","35 to 44"
"10","Delaware","2003","10.9%","","45 to 54"
"10","Delaware","2003","10.7%","","55 to 64"
"10","Delaware","2003","9.3%","","65 or older"
"10","Delaware","2004","21.0%","","18 to 24"
"10","Delaware","2004","19.1%","","25 to 34"
"10","Delaware","2004","12.6%","","35 to 44"
"10","Delaware","2004","12.0%","","45 to 54"
"10","Delaware","2004","12.8%","","55 to 64"
"10","Delaware","2004","10.6%","","65 or older"
"10","Delaware","2005","21.1%","","18 to 24"
"10","Delaware","2005","14.2%","","25 to 34"
"10","Delaware","2005","10.7%","","35 to 44"
"10","Delaware","2005","11.4%","","45 to 54"
"10","Delaware","2005","9.7%","","55 to 64"
"10","Delaware","2005","10.4%","","65 or older"
"10","Delaware","2006","26.4%","","18 to 24"
"10","Delaware","2006","17.9%","","25 to 34"
"10","Delaware","2006","11.2%","","35 to 44"
"10","Delaware","2006","14.6%","","45 to 54"
"10","Delaware","2006","9.0%","","55 to 64"
"10","Delaware","2006","10.2%","","65 or older"
"10","Delaware","2007","19.1%","","18 to 24"
"10","Delaware","2007","13.6%","","25 to 34"
"10","Delaware","2007","10.3%","","35 to 44"
"10","Delaware","2007","10.3%","","45 to 54"
"10","Delaware","2007","10.8%","","55 to 64"
"10","Delaware","2007","8.7%","","65 or older"
"10","Delaware","2008","20.6%","","18 to 24"
"10","Delaware","2008","19.6%","","25 to 34"
"10","Delaware","2008","10.7%","","35 to 44"
"10","Delaware","2008","11.5%","","45 to 54"
"10","Delaware","2008","12.5%","","55 to 64"
"10","Delaware","2008","9.1%","","65 or older"
"10","Delaware","2009","22.0%","","18 to 24"
"10","Delaware","2009","20.3%","","25 to 34"
"10","Delaware","2009","12.7%","","35 to 44"
"10","Delaware","2009","11.4%","","45 to 54"
"10","Delaware","2009","11.9%","","55 to 64"
"10","Delaware","2009","10.1%","","65 or older"
"10","Delaware","2010","24.4%","","18 to 24"
"10","Delaware","2010","15.8%","","25 to 34"
"10","Delaware","2010","16.3%","","35 to 44"
"10","Delaware","2010","12.7%","","45 to 54"
"10","Delaware","2010","14.4%","","55 to 64"
"10","Delaware","2010","10.1%","","65 or older"
"11","District of Columbia","1999","20.2%","","18 to 24"
"11","District of Columbia","1999","12.3%","","25 to 34"
"11","District of Columbia","1999","10.8%","","35 to 44"
"11","District of Columbia","1999","10.7%","","45 to 54"
"11","District of Columbia","1999","9.5%","","55 to 64"
"11","District of Columbia","1999","8.0%","","65 or older"
